PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
3.860864021,-0.894486943,0.888804236,0.091791604,0.546356827,-0.247233665,-0.289844396,-0.573743026,0.123240871,-0.289517948,0.820292708,0.544990641,-0.027219816
2.02307508,-0.50355492,0.235949439,0.119030722,-0.523507574,0.282299769,-0.305923611,-1.07357917,-0.011481328,-0.546630302,0.409178823,1.192930169,0.378877072
2.534764018,-2.427929053,-0.708146822,-1.011185764,1.287785952,1.832902801,0.36858032,0.73006638,-0.466791205,0.18622522,0.702902551,-0.705832354,0.902871518
1.006486018,-1.337102639,-1.941602917,-0.452257378,-1.571491596,-0.804035417,-0.287708294,-1.07518562,-0.027569005,0.032004719,-0.167565364,-0.134976426,-0.089285839
0.4635881,-1.224526887,-2.142354024,1.208239878,-0.645463107,-0.752890004,-0.232869292,-0.777687186,0.071594694,-0.068846753,-0.274350421,-0.00724592,-0.193150589
0.186557763,-1.134360445,-2.350660039,1.167818798,-0.745768179,-0.775126209,-0.205111329,-0.827819334,0.048906849,-0.098277257,-0.251717866,-0.025967927,-0.177255427
-0.815343314,-1.716725363,-0.602202032,-0.550523293,-2.171266755,0.498537433,-1.118940662,-0.818266283,-0.305244782,-0.324469244,0.601092529,-0.883193985,-0.00605822
-0.064769605,-1.951589365,-0.314627538,1.102767572,0.834467386,0.391861542,-1.045491872,-0.914188109,0.509947739,0.857906311,0.426234964,-0.214748391,1.378634378
3.421823006,-2.541644002,0.251659907,-0.507525097,1.417847279,-0.952688515,-1.00610249,0.058675144,-0.129420782,-0.118529858,0.138652433,-0.684049006,-0.466303803
0.321334336,-1.328688719,-3.08612931,2.31614886,0.957684603,1.448444754,1.065913063,0.867915535,-0.046841463,0.143713112,-0.053294173,-0.092203702,0.04721317
-1.653325326,-1.651572544,-0.297202808,2.576414851,0.601449155,0.822612967,-0.572493337,-0.549995992,-0.180970044,-0.60776293,1.058214947,-0.977557585,0.265781715
-1.208807417,-1.72508282,-0.464338648,2.943281589,0.071739313,0.657661928,-0.969681931,-0.114498387,-0.134324872,-0.625071467,0.471024746,-0.632106038,-0.184715601
-1.449136581,-1.722218484,-0.433499321,2.775537442,0.282028251,0.72532823,-0.796955945,-0.311652854,-0.128864609,-0.627465232,0.689383157,-0.820827186,0.02472097
-1.162379885,-1.713253527,-2.41261686,-0.964947209,1.569504762,1.822701979,0.678011482,0.375851534,-0.152259361,0.129275377,-0.281031992,0.085552623,-0.213480895
2.396591825,-1.835363072,2.0897405,0.784759184,-0.741420246,0.877605663,-2.016434366,0.227578422,1.691090437,1.632658805,0.537254531,-0.203284662,-0.455290173
-0.953692745,-0.967949069,-0.11317841,2.799951508,0.2442672,0.786862427,-1.091792786,0.127221675,0.423801511,-1.00673381,0.500451277,-0.175556114,-0.438405466
0.487589775,-0.437250827,0.543012408,0.616901876,-1.755938117,0.636803266,-2.057334616,0.104047253,1.059961095,1.57325845,1.057254715,0.455993871,-0.764044727
-0.780744255,-0.204599122,0.095565648,0.130357105,-1.539946567,0.719491636,-1.618992178,-0.404005691,1.022980199,1.436245481,1.336359434,0.232831743,-0.555104184
-1.090217777,-0.711457043,-0.521731347,0.286230928,-1.969313311,0.597560217,-1.686674325,-0.377934362,1.380318819,1.224482497,0.846159243,-0.443873982,-0.242387062
-0.806619086,-0.740653895,-0.483174093,0.431716775,-2.119258474,0.549303987,-1.838913142,-0.203318223,1.389438681,1.247328075,0.652051113,-0.28115307,-0.422762544
-0.26329697,-0.622457358,-1.56713754,0.938334282,0.515839681,-0.399448743,-1.1110408,-0.33100544,0.980997041,0.434391018,0.601117787,-0.170522376,0.388690905
-0.959351713,-1.605070533,-1.196444827,-2.154729248,0.34527626,-0.29005694,-0.436930721,-1.405104505,-0.114860878,-0.124975011,-0.160281402,0.069801515,-0.264631182
-0.5998915,-0.538244331,-1.911245829,0.309090235,0.177761565,-0.458111389,-0.881453288,-0.491739948,0.395383476,-0.565771578,0.379086129,-0.050160977,0.228551344
0.215939383,-0.276646907,-2.243731274,1.028508762,-0.714571512,-0.671154616,-0.299686862,-0.666367577,0.56762206,-0.467009709,0.03665083,0.196759311,-0.150135692
